epoch,train_loss,cal_loss
1,3.943360042774071,1.3399945378303528
2,1.3307974197096744,0.9353705704212188
3,1.120774040787907,0.8095373332500457
4,1.056262040542344,0.750185739994049
5,1.0210556443464958,0.718331828713417
6,0.9986070541001982,0.691709303855896
7,0.9861110246787637,0.6913925230503082
8,0.9751833556062084,0.6844426989555359
9,0.9663174334218947,0.6694169387221336
10,0.9627131890442412,0.6578355729579926
11,0.9588224160469184,0.6670788899064064
12,0.9550070767685518,0.655755752325058
13,0.9488369069867215,0.6446867465972901
14,0.9486746368771892,0.6627173915505409
15,0.9487445556511314,0.6497614488005639
16,0.9468661208274001,0.6549730315804482
17,0.9401351607452004,0.6499675646424293
18,0.9427483455609467,0.6535052508115768
